#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
270	11.121109	15.238952	11.847475	15.965319	11.243020	15.055978	-9.603975	-5.486132	-8.877609	-4.759765	-18.889750	-15.076792	
271	10.975801	15.093644	11.804757	15.922601	11.202393	15.015351	-9.561257	-5.443414	-8.732301	-4.614457	-18.656767	-14.843809	
272	10.821459	14.939303	11.758717	15.876561	11.158131	14.971089	-9.515218	-5.397374	-8.577959	-4.460116	-18.409439	-14.596481	
273	10.658275	14.776118	11.709286	15.827130	11.110076	14.923034	-9.465786	-5.347943	-8.414775	-4.296931	-18.148097	-14.335139	
274	10.486449	14.604293	11.656391	15.774234	11.058065	14.871023	-9.412891	-5.295047	-8.242950	-4.125106	-17.873092	-14.060134	
275	10.306194	14.424037	11.599956	15.717800	11.001928	14.814886	-9.356456	-5.238613	-8.062694	-3.944850	-17.584791	-13.771833	
276	10.117729	14.235572	11.539904	15.657748	10.941490	14.754447	-9.296404	-5.178561	-7.874229	-3.756385	-17.283578	-13.470620	
277	9.921284	14.039128	11.476156	15.593999	10.876568	14.689526	-9.232656	-5.114812	-7.677785	-3.559941	-16.969852	-13.156894	
278	9.717099	13.834943	11.408630	15.526473	10.806978	14.619936	-9.165130	-5.047286	-7.473600	-3.355756	-16.644026	-12.831068	
279	9.505420	13.623264	11.337244	15.455087	10.732531	14.545488	-9.093744	-4.975900	-7.261920	-3.144077	-16.306528	-12.493570	
280	9.286502	13.404345	11.261915	15.379758	10.653032	14.465990	-9.018415	-4.900571	-7.043002	-2.925158	-15.957800	-12.144842	
281	9.060606	13.178449	11.182558	15.300402	10.568289	14.381246	-8.939059	-4.821215	-6.817106	-2.699262	-15.598295	-11.785337	
282	8.828002	12.945846	11.099091	15.216935	10.478102	14.291060	-8.855591	-4.737748	-6.584502	-2.466658	-15.228477	-11.415520	
283	8.588965	12.706809	11.011429	15.129272	10.382275	14.195233	-8.767929	-4.650085	-6.345465	-2.227622	-14.848823	-11.035866	
284	8.343777	12.461621	10.919488	15.037332	10.280609	14.093567	-8.675989	-4.558145	-6.100278	-1.982434	-14.459818	-10.646860	
285	8.092725	12.210569	10.823187	14.941031	10.172906	13.985863	-8.579688	-4.461844	-5.849225	-1.731382	-14.061955	-10.248998	
286	7.836100	11.953944	10.722445	14.840289	10.058968	13.871926	-8.478946	-4.361102	-5.592600	-1.474757	-13.655738	-9.842780	
287	7.574199	11.692043	10.617183	14.735026	9.938601	13.751559	-8.373683	-4.255839	-5.330700	-1.212856	-13.241674	-9.428716	
288	7.307323	11.425166	10.507323	14.625166	9.811612	13.624570	-8.263823	-4.145979	-5.063823	-0.945979	-12.820279	-9.007321	
