#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
177	-2.256113	16.337271	10.472341	29.065725	8.388602	26.366629	-9.026541	9.566843	3.701914	22.295297	-2.142127	15.835900	
178	-2.057685	16.535699	10.495089	29.088473	8.429729	26.407756	-9.049288	9.544095	3.503486	22.096870	-2.459316	15.518711	
179	-1.862823	16.730561	10.518039	29.111423	8.471538	26.449566	-9.072238	9.521146	3.308624	21.902007	-2.779623	15.198404	
180	-1.673097	16.920287	10.541177	29.134560	8.513983	26.492010	-9.095376	9.498008	3.118897	21.712281	-3.102832	14.875195	
181	-1.490534	17.102850	10.564489	29.157872	8.557016	26.535043	-9.118688	9.474696	2.936334	21.529718	-3.428728	14.549299	
182	-1.317764	17.275620	10.587961	29.181344	8.600593	26.578620	-9.142160	9.451224	2.763564	21.356948	-3.757096	14.220931	
183	-1.158186	17.435198	10.611579	29.204962	8.644670	26.622697	-9.165778	9.427606	2.603987	21.197371	-4.087721	13.890306	
184	-1.016120	17.577263	10.635328	29.228712	8.689205	26.667233	-9.189528	9.403856	2.461921	21.055305	-4.420387	13.557640	
185	-0.896833	17.696551	10.659196	29.252580	8.734157	26.712184	-9.213395	9.379989	2.342633	20.936017	-4.754880	13.223147	
186	-0.806266	17.787118	10.683166	29.276550	8.779484	26.757511	-9.237365	9.356018	2.252067	20.845451	-5.090984	12.887043	
187	-0.750259	17.843124	10.707225	29.300609	8.825146	26.803174	-9.261425	9.331959	2.196060	20.789444	-5.428484	12.549543	
188	2.179049	20.772433	10.731359	29.324743	8.871105	26.849132	-9.285558	9.307826	-0.733248	17.860135	-5.767165	12.210862	
189	2.202718	20.796102	10.755552	29.348936	8.917321	26.895349	-9.309751	9.283633	-0.756917	17.836467	-6.106812	11.871215	
190	2.265426	20.858810	10.779790	29.373174	8.963758	26.941785	-9.333989	9.259394	-0.819626	17.773758	-6.447211	11.530816	
191	2.362833	20.956217	10.804059	29.397443	9.010376	26.988403	-9.358258	9.235126	-0.917032	17.676352	-6.788147	11.189881	
192	2.489246	21.082630	10.828343	29.421727	9.057140	27.035167	-9.382543	9.210841	-1.043445	17.549939	-7.129405	10.848622	
193	2.638893	21.232277	10.852629	29.446013	9.104013	27.082040	-9.406828	9.186556	-1.193092	17.400292	-7.470773	10.507254	
194	2.806669	21.400053	10.876901	29.470285	9.150959	27.128987	-9.431101	9.162283	-1.360869	17.232515	-7.812037	10.165990	
195	2.988390	21.581774	10.901146	29.494530	9.197944	27.175971	-9.455345	9.138039	-1.542589	17.050795	-8.152984	9.825043	
196	3.180756	21.774140	10.925347	29.518731	9.244932	27.222959	-9.479547	9.113837	-1.734955	16.858428	-8.493403	9.484625	
197	3.381213	21.974597	10.949492	29.542876	9.291888	27.269915	-9.503691	9.089693	-1.935412	16.657971	-8.833082	9.144946	
198	3.587786	22.181170	10.973565	29.566948	9.338779	27.316806	-9.527764	9.065620	-2.141985	16.451399	-9.171810	8.806217	
199	3.798939	22.392322	10.997551	29.590935	9.385570	27.363598	-9.551750	9.041634	-2.353138	16.240246	-9.509379	8.468649	
200	4.013464	22.606847	11.021436	29.614820	9.432230	27.410257	-9.575636	9.017748	-2.567663	16.025721	-9.845579	8.132448	
201	4.230398	22.823781	11.045207	29.638590	9.478724	27.456751	-9.599406	8.993978	-2.784597	15.808787	-10.180204	7.797823	
202	4.448960	23.042343	11.068847	29.662231	9.525020	27.503048	-9.623047	8.970337	-3.003159	15.590225	-10.513048	7.464979	
203	4.668506	23.261889	11.092344	29.685728	9.571087	27.549114	-9.646544	8.946840	-3.222705	15.370679	-10.843906	7.134122	
204	4.888496	23.481880	11.115683	29.709067	9.616892	27.594919	-9.669882	8.923501	-3.442695	15.150688	-11.172574	6.805454	
205	5.108472	23.701855	11.138850	29.732234	9.662404	27.640432	-9.693049	8.900335	-3.662671	14.930713	-11.498851	6.479176	
206	5.328033	23.921417	11.161831	29.755215	9.707593	27.685621	-9.716030	8.877354	-3.882233	14.711151	-11.822537	6.155490	
207	5.546832	24.140216	11.184612	29.777995	9.752428	27.730455	-9.738811	8.854573	-4.101032	14.492352	-12.143434	5.834593	
208	5.764557	24.357941	11.207179	29.800562	9.796878	27.774905	-9.761378	8.832006	-4.318757	14.274627	-12.461345	5.516682	
209	5.980928	24.574312	11.229518	29.822902	9.840914	27.818942	-9.783718	8.809666	-4.535127	14.058257	-12.776076	5.201951	
210	6.195689	24.789073	11.251617	29.845001	9.884508	27.862535	-9.805817	8.787567	-4.749888	13.843496	-13.087434	4.890593	
211	6.408605	25.001989	11.273462	29.866846	9.927629	27.905656	-9.827661	8.765722	-4.962804	13.630580	-13.395230	4.582797	
212	6.619459	25.212842	11.295040	29.888423	9.970249	27.948276	-9.849239	8.744145	-5.173658	13.419726	-13.699275	4.278752	
213	6.828046	25.421430	11.316336	29.909720	10.012341	27.990368	-9.870536	8.722848	-5.382245	13.211139	-13.999385	3.978643	
214	7.034176	25.627559	11.337340	29.930724	10.053877	28.031904	-9.891539	8.701844	-5.588375	13.005009	-14.295375	3.682652	
215	7.237666	25.831050	11.358038	29.951422	10.094829	28.072857	-9.912237	8.681147	-5.791865	12.801518	-14.587066	3.390961	
216	7.438346	26.031730	11.378417	29.971801	10.135172	28.113199	-9.932616	8.660767	-5.992545	12.600839	-14.874281	3.103747	
217	7.636051	26.229434	11.398466	29.991850	10.174879	28.152906	-9.952665	8.640719	-6.190250	12.403134	-15.156843	2.821184	
