#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
257	21.574525	21.577546	21.578380	21.581401	20.332260	20.336518	-0.418849	-0.415828	-0.414994	-0.411973	-11.658102	-11.653845	
258	21.558811	21.561832	21.574220	21.577241	20.328639	20.332896	-0.414689	-0.411668	-0.399280	-0.396259	-11.632816	-11.628559	
259	21.532643	21.535664	21.567278	21.570299	20.322583	20.326841	-0.407747	-0.404726	-0.373112	-0.370091	-11.590711	-11.586454	
260	21.496054	21.499075	21.557541	21.560562	20.314065	20.318323	-0.398010	-0.394989	-0.336523	-0.333502	-11.531846	-11.527589	
261	21.449090	21.452111	21.544990	21.548011	20.303044	20.307302	-0.385460	-0.382438	-0.289560	-0.286538	-11.456301	-11.452044	
262	21.391811	21.394833	21.529602	21.532624	20.289469	20.293726	-0.370072	-0.367051	-0.232281	-0.229260	-11.364180	-11.359922	
263	21.324290	21.327311	21.511349	21.514370	20.273276	20.277533	-0.351818	-0.348797	-0.164759	-0.161738	-11.255609	-11.251352	
264	21.246611	21.249632	21.490196	21.493217	20.254391	20.258649	-0.330666	-0.327644	-0.087080	-0.084059	-11.130738	-11.126480	
265	21.158872	21.161893	21.466106	21.469127	20.232732	20.236989	-0.306575	-0.303554	0.000659	0.003680	-10.989736	-10.985479	
266	21.061183	21.064204	21.439035	21.442056	20.208202	20.212459	-0.279504	-0.276483	0.098348	0.101369	-10.832798	-10.828541	
267	20.953668	20.956689	21.408936	21.411958	20.180697	20.184954	-0.249406	-0.246384	0.205863	0.208884	-10.660137	-10.655880	
268	20.836460	20.839482	21.375758	21.378779	20.150102	20.154359	-0.216227	-0.213206	0.323070	0.326091	-10.471989	-10.467731	
269	20.709707	20.712729	21.339443	21.342464	20.116294	20.120551	-0.179913	-0.176891	0.449823	0.452845	-10.268608	-10.264351	
270	20.573567	20.576588	21.299933	21.302955	20.079139	20.083396	-0.140403	-0.137381	0.585964	0.588985	-10.050271	-10.046014	
271	20.428208	20.431229	21.257164	21.260186	20.038497	20.042754	-0.097634	-0.094612	0.731323	0.734344	-9.817273	-9.813015	
272	20.273811	20.276832	21.211069	21.214091	19.994218	19.998475	-0.051539	-0.048517	0.885720	0.888741	-9.569927	-9.565670	
