#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
168	5.136722	5.105934	19.136855	19.106066	16.420562	16.384406	0.247995	0.217206	14.248127	14.217339	9.309681	9.273526	
169	5.342448	5.311660	19.157427	19.126639	16.461707	16.425551	0.227422	0.196634	14.042401	14.011613	9.021665	8.985509	
170	5.551397	5.520609	19.178322	19.147534	16.503497	16.467341	0.206527	0.175739	13.833453	13.802664	8.729137	8.692981	
171	5.763442	5.732654	19.199527	19.168738	16.545906	16.509750	0.185323	0.154534	13.621407	13.590619	8.432273	8.396117	
172	5.978457	5.947669	19.221028	19.190240	16.588908	16.552753	0.163821	0.133033	13.406393	13.375604	8.131253	8.095097	
173	6.196311	6.165523	19.242814	19.212025	16.632479	16.596323	0.142036	0.111248	13.188539	13.157750	7.826257	7.790101	
174	6.416873	6.386085	19.264870	19.234081	16.676592	16.640436	0.119980	0.089191	12.967976	12.937188	7.517470	7.481314	
175	6.640011	6.609223	19.287184	19.256395	16.721219	16.685063	0.097666	0.066877	12.744838	12.714050	7.205077	7.168921	
176	6.865590	6.834801	19.309742	19.278953	16.766335	16.730179	0.075108	0.044320	12.519260	12.488471	6.889267	6.853111	
177	7.093474	7.062685	19.332530	19.301741	16.811912	16.775756	0.052320	0.021531	12.291376	12.260587	6.570229	6.534073	
178	7.323526	7.292737	19.355535	19.324747	16.857922	16.821766	0.029314	-0.001474	12.061324	12.030536	6.248157	6.212001	
179	7.555607	7.524818	19.378743	19.347955	16.904338	16.868182	0.006106	-0.024682	11.829243	11.798455	5.923243	5.887087	
180	7.789577	7.758789	19.402140	19.371352	16.951132	16.914976	-0.017291	-0.048079	11.595272	11.564484	5.595684	5.559529	
181	8.025296	7.994508	19.425712	19.394924	16.998276	16.962120	-0.040863	-0.071651	11.359553	11.328765	5.265677	5.229522	
182	8.262622	8.231833	19.449445	19.418656	17.045741	17.009585	-0.064595	-0.095384	11.122228	11.091439	4.933421	4.897266	
183	8.501411	8.470623	19.473324	19.442535	17.093499	17.057343	-0.088474	-0.119263	10.883439	10.852650	4.599116	4.562961	
184	8.741520	8.710731	19.497335	19.466546	17.141521	17.105365	-0.112485	-0.143273	10.643330	10.612541	4.262963	4.226808	
