#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
292	38.443727	5.524293	42.268016	9.348582	40.981961	8.075711	23.638417	-9.281016	27.462706	-5.456727	20.091169	-12.815081	
293	38.168750	5.249316	42.146286	9.226853	40.827963	7.921713	23.760147	-9.159287	27.737683	-5.181750	20.532506	-12.373744	
294	37.891620	4.972187	42.020531	9.101098	40.667016	7.760766	23.885902	-9.033532	28.014813	-4.904621	20.977280	-11.928970	
295	37.612753	4.693320	41.890801	8.971367	40.499047	7.592797	24.015632	-8.903801	28.293680	-4.625754	21.424880	-11.481370	
296	37.332578	4.413144	41.757165	8.837731	40.324006	7.417756	24.149268	-8.770166	28.573855	-4.345579	21.874683	-11.031567	
297	37.051540	4.132107	41.619716	8.700283	40.141866	7.235616	24.286717	-8.632717	28.854893	-4.064541	22.326052	-10.580198	
298	36.770105	3.850671	41.478574	8.559141	39.952630	7.046380	24.427859	-8.491575	29.136328	-3.783105	22.778338	-10.127912	
299	36.488760	3.569326	41.333889	8.414455	39.756332	6.850082	24.572545	-8.346889	29.417673	-3.501760	23.230872	-9.675378	
300	36.208019	3.288586	41.185844	8.266410	39.553045	6.646795	24.720589	-8.198845	29.698414	-3.221020	23.682964	-9.223286	
301	35.928430	3.008996	41.034667	8.115234	39.342887	6.436637	24.871766	-8.047668	29.978003	-2.941430	24.133896	-8.772354	
302	35.650576	2.731142	40.880634	7.961200	39.126029	6.219779	25.025799	-7.893635	30.255858	-2.663576	24.582918	-8.323332	
303	35.375088	2.455655	40.724077	7.804643	38.902707	5.996457	25.182356	-7.737077	30.531345	-2.388089	25.029234	-7.877016	
304	35.102655	2.183222	40.565397	7.645963	38.673235	5.766985	25.341036	-7.578398	30.803778	-2.115656	25.471994	-7.434256	
305	34.834034	1.914600	40.405077	7.485644	38.438021	5.531771	25.501356	-7.418078	31.072399	-1.847034	25.910273	-6.995977	
306	34.570065	1.650631	40.243698	7.324265	38.197595	5.291345	25.662735	-7.256699	31.336368	-1.583065	26.343056	-6.563194	
307	34.311692	1.392259	40.081956	7.162523	37.952633	5.046383	25.824477	-7.094957	31.594741	-1.324693	26.769200	-6.137050	
