#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
89	-7.118360	-7.154505	7.063915	7.027771	2.374852	2.342999	-2.452251	-2.488395	11.730024	11.693880	9.161922	9.130069	
90	-7.098469	-7.134614	7.262826	7.226682	2.653327	2.621475	-2.651162	-2.687306	11.710133	11.673989	9.122139	9.090287	
91	-7.078937	-7.115081	7.458149	7.422005	2.926779	2.894927	-2.846485	-2.882629	11.690601	11.654457	9.083075	9.051222	
92	-7.059775	-7.095920	7.649766	7.613621	3.195043	3.163190	-3.038102	-3.074246	11.671439	11.635295	9.044751	9.012899	
93	-7.040996	-7.077140	7.837561	7.801417	3.457957	3.426104	-3.225897	-3.262042	11.652660	11.616515	9.007192	8.975340	
94	-7.022610	-7.058754	8.021422	7.985278	3.715363	3.683510	-3.409758	-3.445903	11.634273	11.598129	8.970420	8.938567	
95	-7.004628	-7.040772	8.201238	8.165094	3.967105	3.935252	-3.589574	-3.625719	11.616292	11.580148	8.934457	8.902604	
96	-6.987062	-7.023206	8.376901	8.340756	4.213032	4.181179	-3.765237	-3.801381	11.598726	11.562581	8.899325	8.867472	
97	-6.969922	-7.006066	8.548304	8.512159	4.452996	4.421144	-3.936640	-3.972784	11.581585	11.545441	8.865044	8.833191	
98	-6.953218	-6.989362	8.715344	8.679200	4.686853	4.655000	-4.103680	-4.139824	11.564881	11.528737	8.831636	8.799783	
99	-6.936960	-6.973104	8.877921	8.841777	4.914461	4.882608	-4.266257	-4.302402	11.548624	11.512479	8.799121	8.767268	
100	-6.921158	-6.957302	9.035937	8.999793	5.135683	5.103831	-4.424273	-4.460418	11.532822	11.496678	8.767517	8.735665	
101	-6.905822	-6.941966	9.189297	9.153153	5.350387	5.318534	-4.577633	-4.613777	11.517486	11.481342	8.736845	8.704993	
102	-6.890961	-6.927105	9.337908	9.301764	5.558442	5.526590	-4.726244	-4.762388	11.502625	11.466481	8.707123	8.675271	
103	-6.876584	-6.912728	9.481681	9.445536	5.759724	5.727871	-4.870017	-4.906161	11.488248	11.452103	8.678369	8.646516	
104	-6.862699	-6.898843	9.620529	9.584384	5.954111	5.922259	-5.008865	-5.045009	11.474363	11.438219	8.650599	8.618747	
105	-6.849315	-6.885459	9.754368	9.718224	6.141487	6.109634	-5.142704	-5.178849	11.460979	11.424835	8.623831	8.591979	
106	-6.836440	-6.872584	9.883119	9.846974	6.321737	6.289884	-5.271455	-5.307599	11.448104	11.411960	8.598081	8.566229	
107	-6.824082	-6.860226	10.006702	9.970558	6.494754	6.462902	-5.395039	-5.431183	11.435745	11.399601	8.573365	8.541512	
108	-6.812247	-6.848392	10.125045	10.088901	6.660434	6.628581	-5.513381	-5.549526	11.423911	11.387767	8.549696	8.517844	
109	-6.800944	-6.837089	10.238076	10.201931	6.818676	6.786824	-5.626412	-5.662556	11.412608	11.376464	8.527090	8.495238	
110	-6.790179	-6.826324	10.345725	10.309581	6.969386	6.937533	-5.734062	-5.770206	11.401843	11.365699	8.505561	8.473708	
111	-6.779959	-6.816103	10.447930	10.411786	7.112472	7.080620	-5.836266	-5.872411	11.391623	11.355478	8.485120	8.453267	
112	-6.770289	-6.806433	10.544628	10.508484	7.247849	7.215996	-5.932964	-5.969108	11.381953	11.345809	8.465780	8.433928	
113	-6.761176	-6.797320	10.635760	10.599616	7.375435	7.343582	-6.024097	-6.060241	11.372840	11.336695	8.447554	8.415701	
114	-6.752625	-6.788769	10.721273	10.685129	7.495152	7.463299	-6.109609	-6.145754	11.364288	11.328144	8.430452	8.398599	
