#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
269	29.443594	11.060606	30.073330	11.690342	28.632433	10.937120	8.354328	-10.028660	8.984064	-9.398924	-1.845477	-19.540789	
270	29.308292	10.925304	30.034659	11.651671	28.595671	10.900359	8.393000	-9.989988	9.119366	-9.263622	-1.627533	-19.322845	
271	29.163847	10.780859	29.992803	11.609815	28.555458	10.860145	8.434855	-9.948133	9.263811	-9.119177	-1.394963	-19.090276	
272	29.010442	10.627454	29.947700	11.564712	28.511644	10.816331	8.479958	-9.903030	9.417216	-8.965772	-1.148083	-18.843396	
273	28.848272	10.465284	29.899283	11.516295	28.464075	10.768762	8.528375	-9.854613	9.579386	-8.803602	-0.887227	-18.582540	
274	28.677541	10.294553	29.847483	11.464495	28.412588	10.717276	8.580176	-9.802812	9.750117	-8.632871	-0.612747	-18.308059	
275	28.498465	10.115477	29.792228	11.409240	28.357017	10.661704	8.635430	-9.747558	9.929193	-8.453795	-0.325012	-18.020324	
276	28.311270	9.928282	29.733445	11.350457	28.297187	10.601874	8.694213	-9.688775	10.116388	-8.266600	-0.024407	-17.719720	
277	28.116189	9.733201	29.671061	11.288073	28.232919	10.537607	8.756598	-9.626390	10.311469	-8.071519	0.288665	-17.406647	
278	27.913468	9.530480	29.604998	11.222010	28.164032	10.468719	8.822660	-9.560328	10.514190	-7.868798	0.613789	-17.081523	
279	27.703358	9.320370	29.535182	11.152194	28.090337	10.395024	8.892476	-9.490512	10.724300	-7.658688	0.950534	-16.744779	
280	27.486121	9.103133	29.461534	11.078546	28.011646	10.316334	8.966124	-9.416864	10.941537	-7.441451	1.298454	-16.396858	
281	27.262028	8.879040	29.383980	11.000992	27.927768	10.232456	9.043678	-9.339310	11.165630	-7.217358	1.657094	-16.038219	
282	27.031354	8.648366	29.302443	10.919455	27.838509	10.143197	9.125215	-9.257773	11.396304	-6.986684	2.025984	-15.669329	
283	26.794385	8.411397	29.216849	10.833861	27.743676	10.048364	9.210810	-9.172178	11.633273	-6.749715	2.404644	-15.290669	
284	26.551412	8.168424	29.127123	10.744135	27.643076	9.947763	9.300535	-9.082453	11.876246	-6.506742	2.792584	-14.902729	
285	26.302734	7.919746	29.033197	10.650209	27.536515	9.841203	9.394461	-8.988527	12.124924	-6.258064	3.189303	-14.506009	
286	26.048656	7.665668	28.935001	10.552013	27.423804	9.728491	9.492657	-8.890331	12.379003	-6.003985	3.594295	-14.101018	
287	25.789487	7.406499	28.832470	10.449482	27.304753	9.609441	9.595188	-8.787800	12.638171	-5.744816	4.007042	-13.688271	
288	25.525544	7.142556	28.725544	10.342556	27.179180	9.483867	9.702114	-8.680874	12.902114	-5.480874	4.427021	-13.268291	
289	25.257149	6.874161	28.614166	10.231178	27.046903	9.351590	9.813492	-8.569496	13.170509	-5.212479	4.853704	-12.841608	
290	24.984630	6.601642	28.498285	10.115297	26.907748	9.212436	9.929373	-8.453615	13.443028	-4.939960	5.286556	-12.408756	
