#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
93	-9.728822	26.972303	6.169281	42.870408	-0.047606	36.989442	-6.158386	30.542740	9.739717	46.440843	7.900207	44.937255	
94	-9.711169	26.989956	6.334807	43.035934	0.163977	37.201026	-6.323912	30.377214	9.722064	46.423190	7.909257	44.946305	
95	-9.693907	27.007218	6.497645	43.198772	0.367990	37.405038	-6.486751	30.214376	9.704802	46.405928	7.921023	44.958071	
96	-9.677047	27.024079	6.657567	43.358693	0.564288	37.601336	-6.646672	30.054455	9.687941	46.389067	7.935520	44.972568	
97	-9.660597	27.040528	6.814358	43.515485	0.752750	37.789798	-6.803464	29.897663	9.671492	46.372618	7.952742	44.989790	
98	-9.644569	27.056557	6.967822	43.668949	0.933277	37.970326	-6.956927	29.744199	9.655464	46.356589	7.972663	45.009711	
99	-9.628971	27.072155	7.117773	43.818900	1.105799	38.142848	-7.106878	29.594248	9.639866	46.340991	7.995233	45.032282	
100	-9.613813	27.087313	7.264038	43.965164	1.270273	38.307321	-7.253143	29.447984	9.624707	46.325833	8.020379	45.057428	
101	-9.599103	27.102023	7.406455	44.107581	1.426684	38.463732	-7.395560	29.305567	9.609998	46.311123	8.048000	45.085048	
102	-9.584851	27.116275	7.544871	44.245998	1.575051	38.612099	-7.533976	29.167150	9.595746	46.296871	8.077966	45.115015	
103	-9.571064	27.130061	7.679144	44.380271	1.715421	38.752470	-7.668250	29.032877	9.581959	46.283085	8.110123	45.147171	
104	-9.557752	27.143374	7.809139	44.510266	1.847876	38.884925	-7.798245	28.902882	9.568646	46.269772	8.144285	45.181334	
105	-9.544921	27.156205	7.934729	44.635856	1.972526	39.009574	-7.923835	28.777292	9.555816	46.256941	8.180243	45.217292	
106	-9.532579	27.168546	8.055795	44.756921	2.089509	39.126558	-8.044900	28.656227	9.543474	46.244600	8.217760	45.254809	
107	-9.520734	27.180391	8.172223	44.873350	2.198992	39.236041	-8.161328	28.539798	9.531629	46.232755	8.256578	45.293626	
108	-9.509393	27.191733	8.283908	44.985035	2.301165	39.338214	-8.273014	28.428113	9.520288	46.221413	8.296416	45.333464	
109	-9.498562	27.202564	8.390750	45.091877	2.396239	39.433287	-8.379856	28.321271	9.509457	46.210582	8.336979	45.374028	
110	-9.488247	27.212878	8.492656	45.193782	2.484440	39.521488	-8.481761	28.219366	9.499142	46.200268	8.377958	45.415006	
111	-9.478455	27.222670	8.589536	45.290663	2.566010	39.603058	-8.578641	28.122485	9.489350	46.190476	8.419033	45.456082	
112	-9.469192	27.231934	8.681309	45.382436	2.641199	39.678247	-8.670414	28.030712	9.480087	46.181212	8.459882	45.496930	
113	-9.460462	27.240663	8.767897	45.469024	2.710261	39.747309	-8.757003	27.944124	9.471357	46.172483	8.500179	45.537228	
114	-9.452272	27.248854	8.849229	45.550355	2.773452	39.810500	-8.838334	27.862793	9.463166	46.164292	8.539603	45.576652	
